      I      B      A      C      T      W
    162      3    854  862.0    8.0    5.0
    163      5    864  883.0   19.0   14.0
    164      9    874  905.0   31.0   22.0
    165      4    881  887.0    6.0    2.0
    166     14    887 1149.0  262.0  248.0
    167      4    894  909.0   15.0   11.0
    168      9    904  918.0   14.0    5.0
    169      8    913  926.0   13.0    5.0
    170     14    923 1163.0  240.0  226.0
    171      8    928  944.0   16.0    8.0
    172     18    932 1560.0  628.0  610.0
    173     15    942 1251.0  309.0  294.0
    174      7    950  965.0   15.0    8.0
    175      2    955  958.0    3.0    1.0
    176     11    964  976.0   12.0    1.0
    177     11    973  987.0   14.0    3.0
    178     13    975 1034.0   59.0   46.0
    179      3    979  990.0   11.0    8.0
    180      4    985  994.0    9.0    5.0
    181     13    986 1047.0   61.0   48.0
    182     13    989 1060.0   71.0   58.0
    183     10    992 1004.0   12.0    2.0
    184      1    995 1005.0   10.0    9.0
    185     17    998 1417.0  419.0  402.0
    186     18   1002 1578.0  576.0  558.0
    187     10   1005 1015.0   10.0    0.0
    188     17   1010 1434.0  424.0  407.0
    189     14   1012 1177.0  165.0  151.0
    190      3   1014 1018.0    4.0    1.0
    191      3   1016 1021.0    5.0    2.0
    192      9   1025 1086.0   61.0   52.0
    193     20   1026 1989.0  963.0  943.0
    194     14   1028 1191.0  163.0  149.0
    195      5   1030 1065.0   35.0   30.0
    196     11   1038 1107.0   69.0   58.0
    197     10   1042 1096.0   54.0   44.0
    198      7   1043 1077.0   34.0   27.0
    199      5   1049 1070.0   21.0   16.0
