      I      B      A      C      T      W
    157     14    823 1990.1 1167.1 1153.1
    158      1    830 1019.6  189.6  188.6
    159      8    836 1657.3  821.3  813.3
    160     12    845 1917.3 1072.3 1060.3
    161     14    850 2003.8 1153.8 1139.8
    162      3    854 1292.9  438.9  435.9
    163      5    864 1518.3  654.3  649.3
    164      9    874 1824.7  950.7  941.7
    165      4    881 1320.3  439.3  435.3
    166     14    887 2012.2 1125.2 1111.2
    167      4    894 1334.0  440.0  436.0
    168      9    904 1843.7  939.7  930.7
    169      8    913 1717.3  804.3  796.3
    170     14    923 2023.8 1100.8 1086.8
    171      8    928 1727.8  799.8  791.8
    172     18    932 2083.0 1151.0 1133.0
    173     15    942 2066.1 1124.1 1109.1
    174      7    950 1740.5  790.5  783.5
    175      2    955 1165.6  210.6  208.6
    176     11    964 1964.8 1000.8  989.8
    177     11    973 1968.0  995.0  984.0
    178     13    975 2038.6 1063.6 1050.6
    179      3    979 1425.5  446.5  443.5
    180      4    985 1431.8  446.8  442.8
    181     13    986 2039.7 1053.7 1040.7
    182     13    989 2040.8 1051.8 1038.8
    183     10    992 1885.7  893.7  883.7
    184      1    995 1219.2  224.2  223.2
    185     17    998 2086.2 1088.2 1071.2
    186     18   1002 2088.3 1086.3 1068.3
    187     10   1005 1897.3  892.3  882.3
    188     17   1010 2089.4 1079.4 1062.4
    189     14   1012 2051.3 1039.3 1025.3
    190      3   1014 1470.7  456.7  453.7
    191      3   1016 1473.9  457.9  454.9
    192      9   1025 1906.8  881.8  872.8
    193     20   1026 2093.6 1067.6 1047.6
    194     14   1028 2057.6 1029.6 1015.6
    195      5   1030 1664.7  634.7  629.7
    196     11   1038 2001.7  963.7  952.7
    197     10   1042 1921.5  879.5  869.5
    198      7   1043 1813.1  770.1  763.1
    199      5   1049 1681.6  632.6  627.6
